Index,Sigla,Cidade,Estado
1,XAP,Chapecó,Santa Catarina
2,URG,Uruguaiana,Rio Grande do Sul
3,UMU,Umuarama,Paraná 
4,RIA,Santa Maria,Rio Grande do Sul
5,PTO,Pato Branco,Paraná 
6,POA,Porto Alegre,Rio Grande do Sul
7,PGZ,Ponta Grossa,Paraná 
8,PFB,Passo Fundo,Rio Grande do Sul
9,NVT,Navegantes,Santa Catarina
10,MGF,Maringá,Paraná 
11,LDB,Londrina,Paraná 
12,LAJ,Lages,Santa Catarina
13,JOI,Joinville,Santa Catarina
14,JJG,Jaguaruna,Santa Catarina
15,JCB,Joaçaba,Santa Catarina
16,IGU,Foz do Iguaçu,Paraná 
17,FLN,Florianópolis,Santa Catarina
18,CXJ,Caxias do Sul,Rio Grande do Sul
19,CWB,Curitiba,Paraná 
20,CCM,Forquilhinha,Santa Catarina
21,CAC,Cascavel,Paraná 
22,BNU,Blumenau,Santa Catarina
23,BGX,Bagé,Rio Grande do Sul